patient,display_id,label,role,trial_group,category,x,y,pair_dist_2d,pair_dist_frac,pair_cos_dist
RB,NUE031,grip,neighbor,2:waist,,-0.586524285999891,0.1295276873350545,,,
RB,NUE031,front,neighbor,2:waist,,-0.5011020254746142,-0.039926787423604955,,,
RB,NUE031,zipper,neighbor,2:waist,,-0.1306220816486832,0.5968441174848871,,,
RB,NUE031,hand,neighbor,2:waist,,-0.30038383194242946,0.022393570867012078,,,
RB,NUE031,cat,truth,3:cat,animal,-0.29995993094900913,-0.3863955464876587,0.31032838481837927,0.17406463876725928,0.5632340624058584
RB,NUE031,deer,predicted,3:cat,animal,-0.013055096375849834,-0.5046720121202273,0.31032838481837927,0.17406463876725928,0.5632340624058584
RB,NUE031,park,neighbor,3:cat,,-0.2016123162010673,-0.5975144928284727,,,
RB,NUE031,snow,neighbor,3:cat,,0.08672699538682796,-0.42572000984682057,,,
RB,NUE031,winter,neighbor,3:cat,,0.14749663761370044,-0.4660046024276374,,,
RB,NUE031,bear,neighbor,3:cat,,-0.13615486221712977,-0.37996242794747664,,,
RB,NUE031,fall,neighbor,3:cat,,-0.12964430064404187,-0.3166639601834348,,,
RB,NUE031,moose,neighbor,3:cat,,0.020229837713684345,-0.5491441732585456,,,
RB,NUE031,summer,neighbor,3:cat,,0.24038670878735652,-0.49263229117948876,,,
RB,NUE031,lock,neighbor,3:cat,,-0.6365745505401585,0.007872664067608047,,,
RB,NUE031,hunt,neighbor,3:cat,,-0.12151367272123406,-0.6260418826706832,,,
RB,NUE031,dog,neighbor,3:cat,,-0.32608534435915787,-0.36017641101641046,,,
RB,NUE031,door,neighbor,3:cat,,-0.5682139572219939,-0.20888609337091188,,,
RB,NUE031,foot,neighbor,3:cat,,-0.4272194391342414,0.03459757088002855,,,
RB,NUE031,mountain,neighbor,3:cat,,0.14842318956469772,-0.5548391461998643,,,
RB,NUE031,elk,neighbor,3:cat,,-0.013146187156458548,-0.6573524232565681,,,
RB,NUE031,bird,neighbor,3:cat,,0.04262878736938992,-0.3568282033061151,,,
RB,NUE031,rain,neighbor,3:cat,,0.1851199133713548,-0.4697166979882551,,,
RB,NUE031,hill,neighbor,3:cat,,-0.12830777435446877,-0.49564158527934016,,,
RB,NUE031,weekend,neighbor,3:cat,,0.04996471637424403,-0.683431968168528,,,
RB,NUE031,tree,neighbor,3:cat,,0.22364360507015568,-0.29451268599715585,,,
RB,NUE031,can,truth,4:can,object/tool,-0.4461733191877527,-0.3164655488758455,0.41666977872559935,0.23371202270637362,0.6838886214587281
RB,NUE031,spring,predicted,4:can,object/tool,-0.03352566071405,-0.25871077020420363,0.41666977872559935,0.23371202270637362,0.6838886214587281
RB,NUE031,bite,neighbor,4:can,,-0.013243650783056617,0.030871207828560055,,,
RB,NUE031,nut,neighbor,4:can,,0.16094991406544842,0.4204826464255303,,,
RB,NUE031,ball,neighbor,4:can,,-0.46519252783164566,-0.11436756333356349,,,
RB,NUE031,favorite,neighbor,4:can,,-0.24643048124386782,-0.4995050642428829,,,
RB,NUE031,bottom,neighbor,4:can,,-0.20528435541565704,0.12365365656028528,,,
RB,NUE031,tail,neighbor,4:can,,-0.19833545733679736,0.03622997247173348,,,
RB,NUE031,nose,neighbor,4:can,,-0.02213303227681858,0.28385386202394763,,,
RB,NUE031,round,neighbor,4:can,,-0.30621612979229434,-0.1848862283883451,,,
RB,NUE031,red,neighbor,4:can,,0.09493868102087567,0.027344388032035084,,,
RB,NUE031,shape,neighbor,4:can,,-0.2808308526191799,-0.06122981086474374,,,
RB,NUE031,fan,neighbor,4:can,,-0.4956832042527651,-0.45005485737871903,,,
