patient,display_id,label,role,trial_group,category,x,y,pair_dist_2d,pair_dist_frac,pair_cos_dist
AA,NUE041,moose,neighbor,3:cat,,-0.5437271887771151,-0.07834349944511636,,,
AA,NUE041,sheep,neighbor,3:cat,,-0.4958616822254882,-0.16770820538865616,,,
AA,NUE041,bird,truth,4:bird,animal,-0.4401647062783559,-0.11356506445333998,0.13948819336357562,0.08404467033291668,0.4136591147337362
AA,NUE041,deer,predicted,4:bird,animal,-0.534170306849793,-0.010512150137258277,0.13948819336357562,0.08404467033291668,0.4136591147337362
AA,NUE041,elk,neighbor,4:bird,,-0.6486427310006962,-0.03882352485893961,,,
AA,NUE041,elephant,neighbor,4:bird,,-0.44069514958313843,0.0419272052326523,,,
AA,NUE041,goat,neighbor,4:bird,,-0.20271704204031638,-0.19647051048156064,,,
AA,NUE041,turtle,neighbor,4:bird,,-0.43274091562109135,-0.06591168482822884,,,
AA,NUE041,fish,neighbor,4:bird,,-0.3520975222809853,-0.2676786143649729,,,
AA,NUE041,snake,neighbor,4:bird,,-0.28232147881042396,0.23825103577891657,,,
AA,NUE041,owl,neighbor,4:bird,,-0.5921863812720248,0.05524803968939146,,,
AA,NUE041,bear,neighbor,4:bird,,-0.44433222628222024,0.08418791521135222,,,
AA,NUE041,bunny,neighbor,4:bird,,-0.3222699969539781,-0.08134794144842049,,,
AA,NUE041,turkey,neighbor,4:bird,,-0.2872641496203894,-0.3412113911725975,,,
AA,NUE041,wolf,neighbor,4:bird,,-0.5537257449426167,0.16961671500599507,,,
AA,NUE041,hunt,neighbor,4:bird,,-0.6182767650852147,-0.16286268045383298,,,
AA,NUE041,pear,truth,5:pear,food/fruit,0.4586736920926771,-0.2893518852091129,0.19058324293403714,0.11483054900295206,0.3642016814077147
AA,NUE041,fruit,predicted,5:pear,food/fruit,0.26840970359972427,-0.3003785424545219,0.19058324293403714,0.11483054900295206,0.3642016814077147
AA,NUE041,juice,neighbor,5:pear,,0.3949791816703577,-0.22348096366894454,,,
AA,NUE041,sugar,neighbor,5:pear,,0.25773600453400286,-0.39058047526230166,,,
AA,NUE041,milk,neighbor,5:pear,,0.06491890545854123,-0.2915252349233379,,,
AA,NUE041,yogurt,neighbor,5:pear,,0.19326328572566878,-0.5456800302663586,,,
AA,NUE041,tomato,neighbor,5:pear,,0.3258190116724358,-0.40917100591795574,,,
AA,NUE041,ginger,neighbor,5:pear,,0.32841381765563726,-0.25630928407404624,,,
AA,NUE041,grape,neighbor,5:pear,,0.5071860945666717,-0.2502133440199872,,,
AA,NUE041,salad,neighbor,5:pear,,0.12429648175908854,-0.5022862968104205,,,
