patient,task,variant,N,N_effective,median_rank,mean_rank,mean_percentile,median_percentile,MedR,MRR,top1,top5,top10,top50,top100,n_trials,n_excluded,N_gallery,chance_top1,chance_top5,chance_top10,chance_top50,chance_top100,chance_median_percentile
KAW,auditory_naming,raw,200,200,52.5,60.21666666666667,0.30108333333333337,0.2625,52.5,0.05996419517286203,0.016666666666666666,0.05,0.11666666666666667,0.48333333333333334,0.8166666666666667,120,0,200,0.005,0.025,0.05,0.25,0.5,0.5
LH,auditory_naming,raw,200,200,42.0,58.82035928143713,0.2941017964071857,0.21,42.0,0.08030083875527202,0.023952095808383235,0.11377245508982035,0.16167664670658682,0.5568862275449101,0.8143712574850299,167,9,200,0.005,0.025,0.05,0.25,0.5,0.5
RB,auditory_naming,raw,200,200,63.5,69.98630136986301,0.34993150684931507,0.3175,63.5,0.07523665905402417,0.0273972602739726,0.1095890410958904,0.13013698630136986,0.4315068493150685,0.726027397260274,146,18,200,0.005,0.025,0.05,0.25,0.5,0.5
WBH,auditory_naming,raw,200,200,37.0,54.765765765765764,0.27382882882882886,0.185,37.0,0.06979064021150842,0.009009009009009009,0.0990990990990991,0.17117117117117117,0.6126126126126126,0.8153153153153153,222,47,200,0.005,0.025,0.05,0.25,0.5,0.5
AA,auditory_naming,raw,500,500,36.0,74.96078431372548,0.14992156862745099,0.072,36.0,0.13098080196444495,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.5490196078431373,0.7450980392156863,51,2,500,0.002,0.01,0.02,0.1,0.2,0.5
AZ,auditory_naming,raw,500,500,55.0,76.36842105263158,0.15273684210526314,0.11,55.0,0.07963553222834788,0.031578947368421054,0.10526315789473684,0.12631578947368421,0.4421052631578947,0.8,95,9,500,0.002,0.01,0.02,0.1,0.2,0.5
CP,auditory_naming,raw,500,500,91.5,124.4375,0.248875,0.183,91.5,0.04791048995285141,0.008928571428571428,0.0625,0.13392857142857142,0.3482142857142857,0.5357142857142857,112,24,500,0.002,0.01,0.02,0.1,0.2,0.5
DR,auditory_naming,raw,500,500,46.0,63.2,0.12639999999999996,0.092,46.0,0.06614930179602568,0.0,0.13333333333333333,0.2,0.5555555555555556,0.7555555555555555,45,6,500,0.002,0.01,0.02,0.1,0.2,0.5
KAW,auditory_naming,raw,500,500,62.0,87.3,0.1746,0.124,62.0,0.059011686354370325,0.025,0.05,0.1,0.4166666666666667,0.7166666666666667,120,0,500,0.002,0.01,0.02,0.1,0.2,0.5
LH,auditory_naming,raw,500,500,58.0,84.25149700598803,0.16850299401197605,0.116,58.0,0.0754121436128525,0.023952095808383235,0.10778443113772455,0.16167664670658682,0.47305389221556887,0.7065868263473054,167,9,500,0.002,0.01,0.02,0.1,0.2,0.5
RB,auditory_naming,raw,500,500,80.0,136.52739726027397,0.2730547945205479,0.16,80.0,0.059929463848326835,0.0273972602739726,0.0684931506849315,0.13013698630136986,0.3424657534246575,0.5547945205479452,146,18,500,0.002,0.01,0.02,0.1,0.2,0.5
WBH,auditory_naming,raw,500,500,50.5,72.85135135135135,0.14570270270270272,0.101,50.5,0.060493140964599894,0.013513513513513514,0.08108108108108109,0.13063063063063063,0.5,0.7657657657657657,222,47,500,0.002,0.01,0.02,0.1,0.2,0.5
AA,auditory_naming,raw,1000,1000,44.0,119.43137254901961,0.11943137254901959,0.044,44.0,0.1198387472453711,0.0392156862745098,0.19607843137254902,0.23529411764705882,0.5490196078431373,0.6666666666666666,51,2,1000,0.001,0.005,0.01,0.05,0.1,0.5
AZ,auditory_naming,raw,1000,1000,66.0,119.66315789473684,0.11966315789473683,0.066,66.0,0.08333146101860611,0.042105263157894736,0.10526315789473684,0.12631578947368421,0.42105263157894735,0.6736842105263158,95,9,1000,0.001,0.005,0.01,0.05,0.1,0.5
CP,auditory_naming,raw,1000,1000,108.5,201.29464285714286,0.20129464285714285,0.1085,108.5,0.05927886031882834,0.026785714285714284,0.07142857142857142,0.125,0.3392857142857143,0.49107142857142855,112,24,1000,0.001,0.005,0.01,0.05,0.1,0.5
DR,auditory_naming,raw,1000,1000,53.0,88.68888888888888,0.08868888888888889,0.053,53.0,0.059829410452424694,0.0,0.08888888888888889,0.2,0.4888888888888889,0.6444444444444445,45,6,1000,0.001,0.005,0.01,0.05,0.1,0.5
